year,Departement,Parti,Score
1988.0,saone-et-loire,D,20.57
1988.0,saone-et-loire,ED,11.11
1988.0,saone-et-loire,EG,13.58
1988.0,saone-et-loire,G,37.56
1988.0,sarthe,C,18.15
1988.0,sarthe,D,19.32
1988.0,sarthe,ED,9.34
1988.0,sarthe,EG,15.09
1988.0,sarthe,G,38.09
1988.0,savoie,C,18.05
1988.0,savoie,D,20.95
1988.0,savoie,ED,15.21
1988.0,savoie,EG,15.43
1988.0,savoie,G,30.37
1988.0,seine-et-marne,C,15.12
1988.0,seine-et-marne,D,19.86
1988.0,seine-et-marne,ED,17.75
1988.0,seine-et-marne,EG,14.27
1988.0,seine-et-marne,G,33.0
1988.0,seine-maritime,C,16.06
1988.0,seine-maritime,D,16.77
1988.0,seine-maritime,ED,11.23
1988.0,seine-maritime,EG,16.91
1988.0,seine-maritime,G,39.03
1988.0,seine-saint-denis,C,11.1
1988.0,seine-saint-denis,D,14.61
1988.0,seine-saint-denis,ED,19.81
1988.0,seine-saint-denis,EG,21.56
1988.0,seine-saint-denis,G,32.92
1988.0,somme,C,14.85
1988.0,somme,D,16.9
1988.0,somme,ED,13.8
1988.0,somme,EG,17.78
1988.0,somme,G,36.68
1988.0,tarn,C,14.74
1988.0,tarn,D,19.15
1988.0,tarn,ED,14.78
1988.0,tarn,EG,14.79
1988.0,tarn,G,36.53
1988.0,tarn-et-garonne,C,13.7
1988.0,tarn-et-garonne,D,20.41
1988.0,tarn-et-garonne,ED,15.19
1988.0,tarn-et-garonne,EG,14.32
1988.0,tarn-et-garonne,G,36.37
1988.0,territoire-de-belfort,C,13.89
1988.0,territoire-de-belfort,D,17.3
1988.0,territoire-de-belfort,ED,16.77
1988.0,territoire-de-belfort,EG,15.26
1988.0,territoire-de-belfort,G,36.78
1988.0,val-d-oise,C,14.53
1988.0,val-d-oise,D,18.0
1988.0,val-d-oise,ED,18.08
1988.0,val-d-oise,EG,16.19
1988.0,val-d-oise,G,33.2
1988.0,val-de-marne,C,14.03
1988.0,val-de-marne,D,19.38
1988.0,val-de-marne,ED,15.65
1988.0,val-de-marne,EG,19.49
1988.0,val-de-marne,G,31.46
1988.0,var,C,16.17
1988.0,var,D,19.91
1988.0,var,ED,25.09
1988.0,var,EG,13.38
1988.0,var,G,25.46
1988.0,vaucluse,C,15.18
1988.0,vaucluse,D,16.73
1988.0,vaucluse,ED,23.12
1988.0,vaucluse,EG,15.55
1988.0,vaucluse,G,29.42
1988.0,vendee,C,24.01
1988.0,vendee,D,24.51
1988.0,vendee,ED,8.7
1988.0,vendee,EG,10.59
1988.0,vendee,G,32.19
1988.0,vienne,C,16.39
1988.0,vienne,D,21.77
1988.0,vienne,ED,9.3
1988.0,vienne,EG,14.68
1988.0,vienne,G,37.86
1988.0,vosges,C,17.36
1988.0,vosges,D,19.19
1988.0,vosges,ED,14.89
1988.0,vosges,EG,13.19
1988.0,vosges,G,35.38
1988.0,wallis-et-futuna,C,39.31
1988.0,wallis-et-futuna,D,52.27
1988.0,wallis-et-futuna,ED,0.62
1988.0,wallis-et-futuna,EG,0.59
1988.0,wallis-et-futuna,G,7.22
1988.0,yonne,C,17.23
1988.0,yonne,D,19.96
1988.0,yonne,ED,15.73
1988.0,yonne,EG,13.93
1988.0,yonne,G,33.15
1988.0,yvelines,C,18.49
1988.0,yvelines,D,24.49
1988.0,yvelines,ED,15.05
1988.0,yvelines,EG,12.58
1988.0,yvelines,G,29.38
1995.0,ain,Autre,0.28
1995.0,ain,C,19.8
1995.0,ain,D,19.23
1995.0,ain,ED,25.24
1995.0,ain,EG,14.95
1995.0,ain,G,20.5
1995.0,aisne,Autre,0.29
1995.0,aisne,C,15.63
1995.0,aisne,D,18.17
1995.0,aisne,ED,22.39
1995.0,aisne,EG,19.16
1995.0,aisne,G,24.38
1995.0,allier,Autre,0.27
1995.0,allier,C,16.78
1995.0,allier,D,21.65
1995.0,allier,ED,15.96
1995.0,allier,EG,23.21
1995.0,allier,G,22.14
1995.0,alpes-de-haute-provence,Autre,0.34
1995.0,alpes-de-haute-provence,C,16.97
1995.0,alpes-de-haute-provence,D,18.37
1995.0,alpes-de-haute-provence,ED,21.02
1995.0,alpes-de-haute-provence,EG,20.61
1995.0,alpes-de-haute-provence,G,22.7
1995.0,alpes-maritimes,Autre,0.21
1995.0,alpes-maritimes,C,20.75
1995.0,alpes-maritimes,D,22.48
1995.0,alpes-maritimes,ED,26.99
1995.0,alpes-maritimes,EG,13.21
1995.0,alpes-maritimes,G,16.36
1995.0,ardeche,Autre,0.32
1995.0,ardeche,C,20.07
1995.0,ardeche,D,18.1
1995.0,ardeche,ED,19.22
1995.0,ardeche,EG,19.31
1995.0,ardeche,G,22.98
